model,method,repetition_rate,self_bleu,perplexity,human_perplexity,overconfidence_ratio,zipf_coefficient,num_outputs
gpt2,greedy,20.0,0.06708210086564613,1.6525719621791923,40.136679636649056,24.287402034657624,1.331169421256597,20
gpt2,beam_16,35.0,0.022726065476569267,1.757411661487511,40.136679636649056,22.838519008503965,1.3158044153062303,20
gpt2,beam_10,40.0,0.010638595233771812,1.8344533016798368,40.136679636649056,21.879368419951213,1.3461574749503848,20
gpt2,pure_sampling,0.0,0.00997755268824831,112.88780339828313,40.136679636649056,0.355544872239577,0.45694330738064975,20
gpt2,top_k_40,0.0,0.027632416703586748,16.45475904409472,40.136679636649056,2.439214061360157,0.6377024632946845,20
gpt2,nucleus_0.95,0.0,0.013630213653782596,54.14358548639174,40.136679636649056,0.741300733523399,0.5086183785793362,20
gpt2-large,greedy,5.0,0.052272738619393765,1.588334725170005,25.56320290999192,16.094342398297563,1.1768093093604153,20
gpt2-large,beam_16,35.0,0.01013335998493551,1.7006979370094988,25.56320290999192,15.031007184581034,1.2802247303906795,20
gpt2-large,beam_10,30.0,0.051310525695497745,1.6956847198961833,25.56320290999192,15.075445694620049,1.318433015782436,20
gpt2-large,pure_sampling,0.0,0.017334120957466954,38.80665400215972,25.56320290999192,0.6587324665653793,0.5114098410819745,20
gpt2-large,top_k_40,0.0,0.032597417482079824,9.562378106561292,25.56320290999192,2.6733101980616674,0.6689076299783823,20
gpt2-large,nucleus_0.95,0.0,0.02505437639113341,21.301005529269094,25.56320290999192,1.2000937174006299,0.5813791984862955,20
qwen2.5-7b,greedy,0.0,0.16957780181397966,2.0535772575991547,11.578679570494572,5.638297525767914,0.9537036382562143,20
qwen2.5-7b,beam_16,0.0,0.23277007637260366,1.6113839354987025,11.578679570494572,7.185549834162347,0.9369519402263828,20
qwen2.5-7b,beam_10,0.0,0.27596924842758563,1.6488154440129614,11.578679570494572,7.0224230447004174,0.9597820911209827,20
qwen2.5-7b,pure_sampling,0.0,0.10129335307120584,4.343662848357194,11.578679570494572,2.665648779548743,0.7603004367814401,20
qwen2.5-7b,top_k_40,0.0,0.09391968764577263,3.9154616321646407,11.578679570494572,2.957168440977256,0.7783898642454112,20
qwen2.5-7b,nucleus_0.95,0.0,0.1303669168690543,4.022600918983288,11.578679570494572,2.878406236087939,0.7691126844330426,20
qwen2.5-72b,greedy,0.0,0.2027519628227367,2.186236615173502,7.768301914467174,3.5532759174151303,0.8282020620887132,20
qwen2.5-72b,beam_16,0.0,0.21171424253024362,1.5024544950381786,7.768301914467174,5.170407450023819,0.9132191380007748,20
